point_index,target_x,target_y,yaw_deg,pitch_deg,confidence,sample_count
1,102.0,57.0,27.531937022268902,-13.932691436635956,0.9996978978315989,30
2,461.0,57.0,33.572815871416644,-5.179410354465889,0.9996677080790202,30
3,819.0,57.0,32.66529432822136,8.651883579994445,0.9997249603271484,30
4,1178.0,57.0,28.214389602751503,22.269294765203085,0.9995960593223572,30
5,102.0,259.0,22.43233308823858,-15.610234561888925,0.9994168698787689,30
6,461.0,259.0,31.157739528075588,-5.130004963730444,0.9993045091629028,30
7,819.0,259.0,29.37342688571698,5.513570315976182,0.9995798110961914,30
8,1178.0,259.0,27.19545002953795,21.043571784049828,0.9994560877482096,30
9,102.0,461.0,17.497190148729622,-14.121923108251629,0.9996990402539571,30
10,461.0,461.0,23.76392969335134,-5.70142371233559,0.9997202893098195,30
11,819.0,461.0,25.526594335726806,3.391833095127428,0.9997313737869262,30
12,1178.0,461.0,24.596512677702968,21.54823084075119,0.9997192283471426,30
13,102.0,663.0,13.76249977110534,-12.482907799446233,0.9997318625450134,30
14,461.0,663.0,13.473132261319796,-3.914810292295941,0.9997553348541259,30
15,819.0,663.0,15.023979504041652,7.445803582563913,0.999750018119812,30
16,1178.0,663.0,17.695160620501504,20.9714358794956,0.9997602025667827,30
